[2025-12-07 21:50:35.574] [PSS] [info] ***********  Log Begin **********
[2025-12-07 21:50:35.574] [PSS] [info] process id= 35504
[2025-12-07 21:50:35.574] [PSS] [debug] [35504|15424]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x21bd789eb00, this= 0x21cb9839280
[2025-12-07 21:50:35.574] [PSS] [error] [35504|15424]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x21cb9839280
[2025-12-07 21:50:35.574] [PSS] [info] [35504|15424]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= jSucYrqBJnTxskWp, this= 0x21cb9839280
[2025-12-07 21:50:35.575] [PSS] [info] [35504|15424]streaming_client_impl.cpp:25 ConnectToService: client_id= jSucYrqBJnTxskWp, name= 3D Engine, desp= StreamingSceneRender, this= 0x21ccbef9d30
[2025-12-07 21:50:35.575] [PSS] [debug] [35504|26704]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x21ccbef9d30
[2025-12-07 21:50:35.575] [PSS] [debug] [35504|26704]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x21bfb81d440
[2025-12-07 21:50:35.575] [PSS] [info] [35504|26704]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x21bfb81d440
[2025-12-07 21:50:35.575] [PSS] [info] [35504|16652]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 0, this= 0x21ccbef9d30
[2025-12-07 21:50:35.575] [PSS] [debug] [35504|26704]streaming_client_impl.cpp:150 InvokeConnectToServiceByRpc: begin to connect to service by rpc, this= 0x21ccbef9d30
[2025-12-07 21:50:35.575] [PSS] [debug] [35504|16652]transport_client_tcp3.cpp:136 HandleConnect: local= 127.0.0.1:53919, this= 0x21bfb81d440
[2025-12-07 21:50:35.575] [PSS] [info] [35504|26704]rpc.cpp:81 Start: start, request id begin from 4250, this= 0x21c67efeb00
[2025-12-07 21:50:35.575] [PSS] [debug] [35504|26704]streaming_client_impl.cpp:171 InvokeConnectToServiceByRpc: connecting to service success, client_id= jSucYrqBJnTxskWp, this= 0x21ccbef9d30
[2025-12-07 21:50:35.576] [PSS] [info] [35504|26704]streaming_client_impl.cpp:238 HandleConnectToServiceResp: connect response {result { description: "Success" } client_id: "jSucYrqBJnTxskWp" service_id: "xre_TOXxyFjd" service_version: "2.2.1.9"}, this= 0x21ccbef9d30
[2025-12-07 21:50:35.576] [PSS] [info] [35504|26704]streaming_driver_interface_impl.cpp:326 NotifyClientConnectResult: client connected, client_id= jSucYrqBJnTxskWp, service_version= 2.2.1.9, this= 0x21cb9839280
[2025-12-07 21:50:35.576] [PSS] [info] [35504|26704]streaming_driver_interface_impl.cpp:382 HandleUpdateHMDStateEvent: update hmd state {state_type: kHMDDeviceStateConnected device_id: "PA821CMGGC200276G" device_name: "PICO 4" connection_type: kConnectionUsb description: "Add Device"}, this= 0x21cb9839280
[2025-12-07 21:50:35.577] [PSS] [info] [35504|15424]streaming_driver_interface_impl.cpp:50 StartStreaming: start streaming, {width: 1920 height: 1920 frame_rate: 72}, this= 0x21cb9839280
[2025-12-07 21:50:36.298] [PSS] [info] [35504|26704]streaming_driver_interface_impl.cpp:418 HandleUpdateStreamingStateEvent: update streaming state {started_flag: true session_id: "m29upqVe"}, this= 0x21cb9839280
[2025-12-07 21:50:36.298] [PSS] [info] [35504|26704]streaming_driver_interface_impl.cpp:213 StartHandTracking: start hand tracking, this= 0x21cb9839280
[2025-12-07 21:50:36.763] [PSS] [debug] [35504|26704]streaming_driver_interface_impl.cpp:444 HandleIpdChangedEvent: ipd changed {ipd: 0.06688}, this= 0x21cb9839280
[2025-12-07 21:50:36.763] [PSS] [debug] [35504|26704]streaming_driver_interface_impl.cpp:456 HandleFovChangedEvent: fov changed {fov_infos { eye_side: kSideLeft left: -0.907414198 right: 0.907414198 up: 0.907414198 down: -0.907414198 } fov_infos { eye_side: kSideRight left: -0.907414198 right: 0.907414198 up: 0.907414198 down: -0.907414198 }}, this= 0x21cb9839280
[2025-12-07 21:50:36.788] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { x: 0.0333478376 y: 0.00162965397 z: -9.7783879e-05 w: 0.999442518 } position { x: -0.0504353456 y: 1.06347167 z: 0.0419098176 } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.815] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { x: 0.0333478376 y: 0.00162965397 z: -9.7783879e-05 w: 0.999442518 } position { x: -0.0504353456 y: 1.06347167 z: 0.0419098176 } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.845] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.847] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.865] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.881] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.911] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.922] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.951] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.966] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:36.980] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
